nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,preTask,preDur
0,7,18,following,1.3,0.0,1.2819601999999577,1.1,reproduction,0.9
0,7,19,reproduction,1.3,1.2349048999999468,0.0,,following,1.3
0,7,20,reproduction,1.3,1.187895099999878,0.0,,reproduction,1.3
0,7,21,reproduction,1.0,0.929092099999707,0.0,,reproduction,1.3
0,7,22,following,1.0,0.0,1.0820450000001074,1.0,reproduction,1.0
0,7,23,following,1.0,0.0,1.1173046999997496,1.0,following,1.0
0,7,24,following,1.3,0.0,1.1643404999999802,0.9,following,1.0
0,7,25,reproduction,1.0,1.1996608999997989,0.0,,following,1.3
0,7,26,following,1.3,0.0,1.3760587000001578,1.4,reproduction,1.0
0,7,27,following,1.0,0.0,1.21079090000012,1.3,following,1.3
0,7,28,following,1.1,0.0,1.187873299999865,1.2,following,1.0
0,7,29,reproduction,1.4,1.3760271999999532,0.0,,following,1.1
0,7,30,reproduction,1.3,1.364317199999732,0.0,,reproduction,1.4
0,7,31,reproduction,1.1,1.0467343000000255,0.0,,reproduction,1.3
0,7,32,reproduction,1.1,0.7762464000002183,0.0,,reproduction,1.1
0,7,33,reproduction,1.2,0.8585508000001028,0.0,,reproduction,1.1
0,7,34,following,1.2,0.0,1.1055563999998412,1.4,reproduction,1.2
0,7,35,following,1.3,0.0,1.1525463999996646,0.9,following,1.2
0,7,36,reproduction,1.2,0.9996970000001966,0.0,,following,1.3
0,7,37,following,1.4,0.0,1.3054323000001204,1.1,reproduction,1.2
0,7,38,following,1.4,0.0,1.2701599000001806,1.0,following,1.4
0,7,39,reproduction,1.2,0.8820928000000094,0.0,,following,1.4
0,7,40,following,1.4,0.0,1.3407515999997486,1.2,reproduction,1.2
0,7,41,following,0.9,0.0,1.0467576999999435,1.2,following,1.4
0,7,42,reproduction,1.1,0.8821007000001373,0.0,,following,0.9
0,7,43,reproduction,1.0,0.7056929999998829,0.0,,reproduction,1.1
0,7,44,reproduction,1.1,0.940912600000047,0.0,,reproduction,1.0
