nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,curRpt,preTask,preDur,preRpt,prePreCueDur,flwOnLtc,flwOffLtc,flwAfterOff,valid
9,6,46,reproduction,1.0,0.8821204000014404,0.0,,0.8821204000014404,following,0.8,1.1172980000010284,1.4,,,False,1
9,6,47,following,1.2,0.0,1.1996394000016153,1.2,1.1996394000016153,reproduction,1.0,0.8821204000014404,,0.0942350999976042,0.0942179000012402,False,1
9,6,48,reproduction,0.8,0.5528092999993532,0.0,,0.5528092999993532,following,1.2,1.1996394000016153,1.2,,,False,1
9,6,49,reproduction,1.2,0.8703516999994463,0.0,,0.8703516999994463,reproduction,0.8,0.5528092999993532,,,,False,1
9,6,50,reproduction,1.2,1.0938314000013634,0.0,,1.0938314000013634,reproduction,1.2,0.8703516999994463,,,,False,1
9,6,51,reproduction,1.1,0.8232800999976462,0.0,,0.8232800999976462,reproduction,1.2,1.0938314000013634,,,,False,1
9,6,52,reproduction,1.2,1.1761514999998326,0.0,,1.1761514999998326,reproduction,1.1,0.8232800999976462,,,,False,1
9,6,53,following,1.2,0.0,1.5054195000011532,0.8,1.5054195000011532,reproduction,1.2,1.1761514999998326,,-0.0586726000001363,0.247126100002788,False,1
9,6,54,following,1.4,0.0,1.2348513999968418,1.4,1.2348513999968418,following,1.2,1.5054195000011532,0.8,0.1530368000021553,-0.0116903000016463,False,1
9,6,55,following,1.1,0.0,1.2349103999986255,1.3,1.2349103999986255,following,1.4,1.2348513999968418,1.4,-0.0468984000003729,0.0824661000006017,False,1
9,6,56,reproduction,0.9,0.6233785000003991,0.0,,0.6233785000003991,following,1.1,1.2349103999986255,1.3,,,False,1
9,7,1,following,0.9,0.0,1.0467265000006591,0.9,1.0467265000006591,,,,,0.07070609999937,0.2118140999991737,False,1
9,7,2,following,1.2,0.0,1.2466172999993432,1.1,1.2466172999993432,following,0.9,1.0467265000006591,0.9,-0.058679599998868,-0.0116920000000391,False,1
9,7,3,reproduction,0.8,0.8821189000009326,0.0,,0.8821189000009326,following,1.2,1.2466172999993432,1.1,,,False,1
9,7,4,following,0.9,0.0,1.1408690999996909,1.1,1.1408690999996909,reproduction,0.8,0.8821189000009326,,0.0118992000025173,0.2471705999996629,False,1
9,7,5,reproduction,1.3,1.0702984999988985,0.0,,1.0702984999988985,following,0.9,1.1408690999996909,1.1,,,False,1
9,7,6,following,0.8,0.0,1.0232097000007343,0.8,1.0232097000007343,reproduction,1.3,1.0702984999988985,,0.0118963999993866,0.2353512000008777,False,1
9,7,7,following,1.3,0.0,1.2466064000000188,1.3,1.2466064000000188,following,0.8,1.0232097000007343,0.8,0.0471824999985983,-0.011695300003339,False,1
9,7,8,reproduction,1.3,1.0467782999985502,0.0,,1.0467782999985502,following,1.3,1.2466064000000188,1.3,,,False,1
9,7,9,reproduction,1.4,0.9762158000012278,0.0,,0.9762158000012278,reproduction,1.3,1.0467782999985502,,,,False,1
9,7,10,following,1.4,0.0,1.470122200000333,1.3,1.470122200000333,reproduction,1.4,0.9762158000012278,,0.0354306000008364,0.1059749000014562,False,1
9,7,11,reproduction,1.4,1.1761554999975488,0.0,,1.1761554999975488,following,1.4,1.470122200000333,1.3,,,False,1
9,7,12,following,1.4,0.0,1.3171658999999636,1.0,1.3171658999999636,reproduction,1.4,1.1761554999975488,,0.0707002999988617,-0.0116941000014776,False,1
9,7,13,reproduction,1.1,0.9291666999997688,0.0,,0.9291666999997688,following,1.4,1.3171658999999636,1.0,,,False,1
9,7,14,following,1.2,0.0,1.081946500002232,0.8,1.081946500002232,reproduction,1.1,0.9291666999997688,,0.1059843999978511,-0.0117022000008546,False,1
9,7,15,following,1.2,0.0,1.1055504999967525,1.2,1.1055504999967525,following,1.2,1.081946500002232,0.8,0.105983000001288,0.0118970999974408,False,1
9,7,16,following,1.1,0.0,1.0584306999990076,1.0,1.0584306999990076,following,1.2,1.1055504999967525,1.2,0.0354161999998723,-0.0116923000027782,False,1
9,7,17,reproduction,1.0,0.8821957000000111,0.0,,0.8821957000000111,following,1.1,1.0584306999990076,1.0,,,False,1
